ID,Title,Content
,"Trespassing on burial places, etc. ","Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby,
 
 
commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies,
 
 
shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
,"Uttering words, etc., with deliberate intent to wound religious feelings ","Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
,Punishment for murder,"Whoever commits murder shall be punished with death, or 2[imprisonment] for life, and shall also be liable to fine. "
,Causing death by rash driving or riding on a public way ,"Whoever causes the death of any person by rash or negligent driving of any vehicle or riding on any public way not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to 3[three years], or with fine, or with both."
,Abetment of suicide of child or insane person ,"If any person under eighteen years of age, any insane person, any delirious person, any idiot, or any person in a state of intoxication commits suicide, whoever abets the commission
 
 
of such suicide shall be punished with death or 2[imprisonment] for life, or imprisonment for a term not exceeding ten years, and shall also be liable to fine. "
,Punishment for murder by life-convict,"Whoever, being under sentence of 2[imprisonment] for life, commits murder, shall be punished with death. "
,Punishment for culpable homicide not amounting to murder,"Whoever commits culpable homicide not amounting to murder, shall be punished with 2[imprisonment] for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with intention of causing death, or of causing such bodily injury as is likely to cause death;
 
 
or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death or to cause such bodily injury as is likely to cause death. "
,Causing death by negligence,"Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to 3[five] years, or with fine, or with both."
,Abetment of suicide of child or insane person ," If any person commits suicide, whoever abets the commission of such suicide, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,Attempt to murder Attempts by life-convicts ,"Whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act caused death, he would be guilty of murder, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and, if hurt is caused to any person by such act, the offender shall be liable either to 2[imprisonment] for life, or to such punishment as is hereinbefore mentioned.
 
 
When any person offending under this section is under sentence of 3[imprisonment] for life, he may, if hurt is caused, be punished with death."
,Attempt to commit culpable homicide,"Whoever does any act with such intention or knowledge and under such circumstances that, if he by that act caused death, he would be guilty of culpable homicide not amounting to murder, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if hurt is caused to any person by such act, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both."
,Attempt to commit suicide ,"Whoever attempts to commit suicide and does any act towards the commission of such offence, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both. "
,Punishment of ausing miscarriage," Whoever voluntarily causes a woman with child to miscarry, shall, if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Punishment causing miscarriage without women's consent,"Whoever commits the offence defined in the last preceding section without the consent of the woman, whether the woman is quick with child or not, shall be punished with 2[imprisonment] for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,Death caused by act done with intent to cause miscarriage ,"Whoever, with intent to cause the miscarriage of a woman with child, does any act which causes the death of such woman, shall be punished with imprisonment of either description
 
 
for a term which may extend to ten years, and shall also be liable to fine"
,Act done with intent to prevent child being born alive or to cause it to die after birth,"Whoever before the birth of any child does any act with the intention of thereby preventing that child from being born alive or causing it to die after its birth, and does by such act prevent that child from being born alive, or causes it to die after its birth, shall, if such act be not caused in good faith for the purpose of saving the life of the mother, be punished with imprisonment of either description for a term which may extend to ten years, or with fine, or with both. "
,Causing death of quick unborn child by act amounting to culpable homicide ,"Whoever does any act under such circumstances, that if he thereby caused death he would be guilty of culpable homicide, and does by such act cause the death of a quick unborn child, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,Exposure and abandonment of child under twelve years by parent or person having care of it ,"Whoever being the father or mother of a child under the age of twelve years, or having the care of such child, shall expose or leave such child in any place with the intention of wholly abandoning such child, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.
 
 
Explanation.This section is not intended to prevent the trial of the offender for murder or culpable homicide, as the case may be, if the child die in consequence of the exposure. "
,Concealment of birth by secret disposal of dead body ,"Whoever, by secretly burying or otherwise disposing of the dead body of a child whether such child die before or after or during its birth, intentionally conceals or endeavours to conceal the birth of such child, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Punishment for voluntarily causing hurt,"Whoever, except in the case provided for by section 334, voluntarily causes hurt, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand taka, or with both. "
,Voluntarily causing hurt by dangerous weapons or means,"Whoever, except in the case provided for by section 334, voluntarily causes hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire
 
or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. "
,Punishment for voluntarily causing grievous hurt,"Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Voluntarily causing grievous hurt by dangerous weapons or means,"Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance, or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be punished with 2[imprisonment] for life or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,"Voluntarily causing grievous hurt in respect of both eyes, hand or face by means of corrosive substance, etc. ","Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt of the kind mentioned in
 
 
(a) clause secondly of section 320 in respect of both the eyes either by gouging out the same or by means of any corrosive substance; or
 
 
(b) clause sixthly of section 320 by means of any corrosive substance,
 
 
shall be punished with death, or 3[imprisonment] for life and shall also be liable to fine.] "
,Voluntarily causing hurt to extort property or to constrain to an illegal act," Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer, or from any person interested in the sufferer, any property or valuable security, or of constraining the sufferer, or any person interested in such sufferer to do anything which is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,"Causing hurt by means of poison, etc., with intent to commit an offence ","Whoever administers to or causes to be taken by any person any poison or any stupefying, intoxicating or un- wholesome drug, or other thing with intent to cause hurt to such person, or with intent to commit or to facilitate the commission of an offence or knowing it to be likely that he will thereby cause hurt, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act ","Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or from any person interested in the sufferer any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything that is illegal or which may facilitate the commission of an offence, shall be punished with 2[imprisonment] for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,"Voluntarily causing hurt to extort confession, or to compel restoration of property","Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer or any person interested in the sufferer, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Voluntarily causing hurt to deter public servant from his duty ,"Whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
,Voluntarily causing grievous hurt to deter public servant from his duty ,"Whoever voluntarily causes grievous hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,Voluntarily causing hurt on provocation,"Whoever voluntarily causes hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other than the person who gave the provocation shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred taka, or with both. "
,Voluntarily causing grievous hurt on provocation,"Whoever voluntarily causes grievous hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause grievous hurt to any person other than the person who gave the provocation shall be punished with imprisonment of either description for a term which may extend to four years, or with fine which may extend to two thousand taka, or with both. "
,Act endangering life or personal safety to others,"Whoever does any act so rashly or negligently as to endanger human life or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred and fifty taka, or with both. "
,Causing hurt by act endangering life or personal safety of others ,"Whoever causes hurt to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five hundred taka, or with both."
,Causing grievous hurt by act endangering life or personal safety of others ,"Whoever causes grievous hurt to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others, shall be punished with imprisonment of either description for a term which may extent to two years, or with fine which may extend to 2[five thousand taka], or with both. "
,Causing grievous hurt by rush driving or riding on a public way,"Whoever causes grievous hurt to any person by driving any vehicle or riding on any public way so rashly or negligently as to endanger human life, or the personal safety of others shall be punished with imprisonment of either description for a term which may extend to 3[two years], or with fine, or with both."
,Wrongful confinement for ten or more days,"Whoever wrongfully confines any person for ten days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. "
,Wrongful confinement of person for whose liberation writ has been issued,"Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter. "
,Wrongful confinement in secret ,"Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any other punishment to which he may be liable for such wrongful confinement. "
,Wrongful confinement to extort property or constrain to illegal act ,"Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. "
,Wrongful confinement to extort confession or compel restoration of property ,"Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. "
,Punishment for wrongful confinement ,"Whoever wrongfully confines any person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand taka, or with both. "
,Wrongful confinement for three or more days,"Whoever wrongfully confines any person for three days or more, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Punishment for wrongful restraint ,"Whoever wrongfully restrains any person, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred taka, or with both. "
,punishment for assault or criminal force otherwise than on grave provocation,"Whoever assaults or uses criminal force to any person otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred taka, or with both.
 
 
Explanation.- Grave and sudden provocation will not mitigate the punishment for an offence under this section, if the provocation is sought or voluntarily provoked by the offender as an excuse for the offence, or
 
 
if the provocation is given by anything done in obedience to the law, or by a public servant, in the lawful exercise of the powers of such public servant, or
 
 
if the provocation is given by anything done in the lawful exercise of the right of private defence.
 
 
Whether the provocation was grave and sudden enough to mitigate the offence, is a question of fact. "
,Assault or criminal force to deter public servant from discharge of his duty,"Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence
 
 
of anything done or attempted to be done by such person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to 2[three years], or with fine, or with both. "
,Assault or criminal force to woman with intent to outage her modesty,"Whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will thereby outrage her modesty, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation","Whoever assaults or uses criminal force to any person, intending thereby to dishonour that person, otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Assault or criminal force in attempt to commit theft of property carried by a person ,"Whoever assaults or uses criminal force to any person in attempting to commit theft on any property which that person is then wearing or carrying shall be punished with imprisonment of either description for a term which may extent to two years, or with fine, or with both. "
,Assault or criminal force in attempt wrongfully to confine a person ,"Whoever assaults or uses criminal force to any person, in attempting wrongfully to confine that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand taka, or with both."
,Assault or criminal force on grave provocation,"Whoever assaults or uses criminal force to any person on grave and sudden provocation given by that person, shall be punished with simple imprisonment for a term which may extend to one month or with fine which may extend to two hundred taka, or with both. "
,Punishment for kidnapping ," Whoever kidnaps any person from Bangladesh or from lawful guardianship, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Kidnapping or abducting in order to murder ,"Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, shall be punished with 2[imprisonment] for life or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine. "
,Kidnapping or abducting a person under the age of ten,"Whoever kidnaps or abducts any person under the age of ten, in order that such person may be murdered or subjected to grievous hurt, or slavery, or to the lust of any person or may be so disposed of as to be put in danger of being murdered or subjected to grievous hurt, or slavery, or to the lust of any person shall be punished with death or with 3[imprisonment] for life or with rigorous imprisonment for a term which may extend to fourteen years and shall not be less than seven years"
,Kidnapping or abducting with intent secretly and wrongfully to confine person ,"Whoever kidnaps or abducts any person with intent to cause that person to be secretly and wrongfully confined, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,"Kidnapping or abducting or inducing woman to compel her marriage, etc","Whoever kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be compelled, to marry any person against her will, or in order that she may be forced or seduced to illicit intercourse, or knowing it to be likely that she will be forced or seduced to illicit intercourse, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and whoever, by means of criminal intimidation as defined in this Code or of abuse of authority or any other method of compulsion, induces any woman to go from any place with intent that she may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall also be punishable as aforesaid. "
,Kidnapping or abducting child under ten years with intent to steal from its person,"Whoever kidnaps or abducts any child under the age of ten years with the intention of taking dishonestly any moveable property from the person of such child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Buying or disposing of any person as a slave,"Whoever imports, exports, removes, buys, sells or disposes of any person as a slave, or accepts, receives or detains against his will any person as a slave, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Habitual dealing in slaves ,"Whoever habitually imports, exports, removes, buys, sells, traffics or deals in slaves, shall be punished with 2[imprisonment] for life, or with imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine. "
,"Selling minor for purposes of prostitution, etc. ","Whoever sells, lets to hire, or otherwise disposes of any person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution of illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be employed or used for any such purpose, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. Selling minor for purposes on prostitution, etc. "
,"Buying minor for purposes of prostitution, etc. "," Whoever buys, hires or otherwise obtains possession of any person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be employed or used for any such purpose, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,Unlawful compulsory labour,"Whoever unlawfully compels any person to labour against the will of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.
 
 
(2) Whoever compels a prisoner of war or a protected person to serve in the armed forces of Bangladesh shall be punished with imprisonment of either description for a term which may extend to one year. "
,Procuration of minor girl ,"Whoever, by any means whatsoever, induces any minor girl under the age of eighteen years to go from any place or to do any act with intent that such girl may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall be punishable with imprisonment which may extend to ten years and shall also be liable to fine. "
,Importation of girl from foreign country," Whoever imports into Bangladesh from any country outside Bangladesh any girl under the age of twenty-one years with intent that she may be, or knowing it to be likely that she will be, forced or seduced to illicit intercourse with another person,
shall be punishable with imprisonment which may extend to ten years and shall also be liable to fine.] "
,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc. ","Whoever kidnaps or abducts any person in order that such person may be subjected, or may be so disposed of as to be put in danger of being subjected to grievous hurt, or slavery, or to the unnatural lust of any person, or knowing it to be likely that such person will be so subjected or disposed of, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person ","Whoever, knowing that any person has been kidnapped or has been abducted, wrongfully conceals or confines such person, shall be punished in the same manner as if he had kidnapped or abducted such person with the same intention or knowledge, or for the same purpose as that for which he conceals or detains such person in confinement. "
,Absconding to avoid service of summons or other proceeding,"Whoever absconds in order to avoid being served with a summons, notice or order proceeding from any public servant legally competent, as such public servant, to issue such summons, notice or order, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred taka, or with both;
 
 
or, if the summons or notice or order is to attend in person or by agent, or to produce a document in a Court of Justice, with simple imprisonment for a term which may extend to six month, or with fine which may extend to one thousand taka, or with both. "
,Preventing service of summons or other proceeding or preventing publication thereof,"Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any summons, notice or order proceeding from any public servant legally competent, as such public servant, to issue such summons, notice or order,
 
 
or intentionally prevents the lawful affixing to any place of any such summons, notice or order,
 
 
or intentionally removes any such summons, notice or order, from any place to which it is lawfully affixed,
 
 
or intentionally prevents the lawful making of any proclamation, under the authority of any public servant legally competent, as such public servant, to direct such proclamation to be made,
 
 
shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred taka, or with both;
 
 
or, if the summons, notice, order or proclamation is to attend in person or by agent, or to produce a document in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both"
,Non-attendance in obedience to an order from public servant,"Whoever, being legally bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice, order or proclamation proceeding from any public servant legally competent, as such public servant, to issue the same,
 
 
intentionally omits to attend at that place or time, or departs from the place where he is bound to attend before the time at which it is lawful for him to depart,
 
 
shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred taka or with both;
 
 
or, if the summons, notice, order or proclamation is to attend in person or by agent in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both."
,Omission to produce document to public servant by person legally bound to produce it ,"Whoever, being legally bound to produce or deliver up any document to any public servant, as such, intentionally omits so to produce or deliver up the same, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred taka, or with both;
 
 
or, if the document is to be produced or delivered up to a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both."
,Omission to give notice or information to public servant by person legally bound to give it ,"Whoever, being legally bound to give any notice or to furnish information on any subject to any public servant, as such, intentionally omits to give such notice or to furnish such information in the manner and at the time required by law, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred taka, or with both;
 
 
or, if the notice or information required to be given respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both;
 
 
or, if the notice or information required to be given is required by an order passed under sub-section (1) of section 565 of the Code of Criminal Procedure, 1898, with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both. "
,Furnishing false information," Whoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both;
 
 
or, if the information which he is legally bound to give respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Refusing oath or affirmation when duly required by public servant to make it,"Whoever refuses to bind himself by an oath or affirmation to state the truth, when required so to bind himself by a public servant legally competent to require that he shall so bind himself, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both. "
,Refusing to answer public servant authorized to question,"Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both. "
,Refusing to sign statement,"Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred taka, or with both. "
,False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation,"Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person or as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. "
,False information with intent to cause public servant to use his lawful power to the injury of another person,"Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause, such public servant
 
 
(a) to do or omit anything which such public servant ought not to do or omit if the true state of facts respecting which such information is given were known by him, or
 
 
(b) to use the lawful power of such public servant to the injury or annoyance of any person,
 
 
shall be punished with imprisonment of either description for a term which may extend to six months, or with fine may extend to one thousand taka, or with both."
,Resistance to the taking of property by the lawful authority of a public servant,"Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both. "
,Obstructing sale of property offered for sale by authority of public servant,"Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred taka, or with both. "
,Illegal purchase or bid for property offered for sale by authority of public servant,"Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred taka, or with both. "
,Obstructing public servant in discharge of public functions ,"Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred taka, or with both. "
,Omission to assist public servant when bound by law to give assistance,"Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred taka, or with both;
 
 
and if such assistance be demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing the commission of an offence, or of suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five hundred taka, or with both. "
,Disobedience to order duly promulgated by public servant,"Whoever, knowing that, by an order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to abstain from a certain act, or to take certain order with certain property in his possession or under his management, disobeys such direction,
 
 
shall, if such disobedience causes or tends to cause obstruction, annoyance or injury, or risk of obstruction, annoyance or injury, to any persons lawfully employed, be punished with simple imprisonment for a term which may extend to one month or with fine which may extend to two hundred taka, or with both;
 
 
and if such disobedience causes or tends to cause danger to human life, health or safety, or causes or tends to cause a riot or affray, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both. "
,Threat of injury to public servant ," Whoever holds out any threat of injury to any public servant, or to any person in whom he believes that public servant to be interested, for the purpose of inducing that public servant to do any act, or to forbear or delay to do any act, connected with the exercise of the public functions of such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Threat of injury to induce person to refrain from applying for protection to public servant ," Whoever holds out any threat of injury to any person for the purpose of inducing that person to refrain or desist from making a legal application for protection against any injury to any public servant legally empowered as such to give such protection, or to cause such protection to be given, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment ,"Whoever gives or fabricates false evidence intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which by any law for the time being in force is not capital, but punishable with 2[imprisonment for life], or imprisonment for a term of seven
 
 
years or upwards, shall be punished as a person convicted of that offence would be liable to be punished."
,Using evidence known to be false ,"Whoever corruptly uses or attempts to use as true or genuine evidence, any evidence which he knows to be false or fabricated, shall be punished in the same manner as if he gave or fabricated false evidence. "
,Issuing or signing false certificate ,"Whoever issues or signs any certificate required by law to be given or signed, or relating to any fact of which such certificate is by law admissible in evidence, knowing or believing that such certificate is false in any material point, shall be punished in the same manner as if he gave false evidence. "
,Punishment for false evidence ,"Whoever intentionally gives false evidence in any stage of judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;
and whoever intentionally gives or fabricates false evidence in any other case, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
,Giving or fabricating false evidence with intent to procure conviction of capital offence; if innocent person be thereby convicted and executed ,"Whoever gives or fabricates false evidence, intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which is capital by any law for the time being in force, shall be punished with 2[imprisonment] for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine;
 
 
and if an innocent person be convicted and executed in consequence of such false evidence, the person who gives such false evidence shall be punished either with death or the punishment herein before described. "
,Using as true a certificate known to be false,"Whoever corruptly uses or attempts to use any such certificate as a true certificate, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence. "
,False statement made in declaration which is by law receivable as evidence,"Whoever, in any declaration made or subscribed by him, which declaration any Court of Justice, or any public servant or other persons, is bound or authorized by law to receive as evidence of any fact, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, touching any point material to the object for which the declaration is made or used, shall be punished in the same manner as if he gave false evidence. "
,Using as true such declaration knowing it to be false,"Whoever corruptly uses or attempts to use as true any such declaration, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence. "
